state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL
AL,2020-04-10,7453.384493284494,7367.688260901086,7539.080725667902,0.527562712914215,0.5163897418538153,0.5387356839746147
AL,2020-04-11,6826.3264346190035,6738.868319974904,6913.784549263104,0.501149018914619,0.49016782029106004,0.5121302175381781
AL,2020-04-12,6872.942650865005,6784.9674240264285,6960.91787770358,0.5033964962459778,0.4924802904333219,0.5143127020586338
AL,2020-04-13,6679.732617781155,6606.374591355327,6753.090644206983,0.4914850989231154,0.4783969405145715,0.5045732573316594
AL,2020-04-14,7290.957611500184,7219.240247113834,7362.674975886534,0.5343012704174228,0.5209728377652902,0.5476297030695554
AL,2020-04-15,7396.193533401469,7324.143638128695,7468.243428674243,0.5424246123794408,0.5291909261772705,0.5556582985816112
AL,2020-04-16,7624.393615091601,7554.328142101984,7694.4590880812175,0.5642135642135642,0.5507324646639234,0.5776946637632049
AL,2020-04-17,7645.0234003656315,7573.987543167648,7716.059257563614,0.558774239885085,0.545441120936301,0.572107358833869
AL,2020-04-18,7370.31967545639,7293.2602046278835,7447.379146284896,0.533613998158137,0.5212072250187635,0.5460207712975106
AL,2020-04-19,7460.521311475411,7383.475645159812,7537.566977791009,0.5450643776824035,0.5327003015255559,0.557428453839251
AL,2020-04-20,7340.490478938257,7275.200255707699,7405.780702168815,0.5318921232876712,0.51724226252148,0.5465419840538625
AL,2020-04-21,7714.868376068376,7644.059741225586,7785.677010911166,0.5543843391636742,0.5409814841377693,0.5677871941895792
AL,2020-04-22,7934.99278091651,7858.431463486885,8011.554098346135,0.5878350229134842,0.5756779425384144,0.599992103288554
AL,2020-04-23,8255.503154399557,8176.213237280304,8334.79307151881,0.6001153236269281,0.588488431117091,0.6117422161367652
AL,2020-04-24,8161.866234467856,8083.813740823916,8239.918728111796,0.59809902113775,0.5862681284333763,0.6099299138421238
AL,2020-04-25,7917.482466192986,7836.753412375595,7998.211520010377,0.5823014195107218,0.5707271623214035,0.59387567670004
AL,2020-04-26,7599.222667889067,7518.797082778547,7679.648252999589,0.5680736761320031,0.5563535509156717,0.5797938013483345
AL,2020-04-27,7703.7203825586175,7628.515234914081,7778.925530203154,0.5820687734929695,0.5696424201932453,0.5944951267926937
AL,2020-04-28,7864.0226244343885,7788.928091079923,7939.1171577888545,0.5917914586799778,0.5794332763007106,0.6041496410592451
AL,2020-04-29,8216.81953488372,8141.613259725282,8292.02581004216,0.610484314804623,0.5983376366536196,0.6226309929556263
AL,2020-04-30,8363.973454192295,8287.075151033523,8440.871757351066,0.6187955943355743,0.6070113833331154,0.6305798053380332
AL,2020-05-01,8354.397271087055,8275.042373889159,8433.75216828495,0.611505471753919,0.6000047879525853,0.6230061555552527
AL,2020-05-02,7827.79438229572,7744.976473292106,7910.612291299334,0.5783966516419833,0.5670852166726866,0.5897080866112799
AL,2020-05-03,6792.081930097637,6705.465723584053,6878.69813661122,0.5251911389923545,0.5141312902154093,0.5362509877692997
AL,2020-05-04,8173.70917200366,8093.315358834814,8254.102985172505,0.5979613251386598,0.5864736950359506,0.6094489552413691
AL,2020-05-05,8841.70345379689,8763.228019483158,8920.17888811062,0.6458613979943122,0.6346646729975456,0.6570581229910788
